Id,Date,Name,Active,JobTitle,Affiliation,Institution,GrossSalary_Year,GrossSalary_Month,GrossSalary_Month_Base,GrossSalary_Month_Supplement,GrossSalary_Month_Diets,BirthDate
1,08/11/2021,Letizia Ortiz Rocasolano,1,Reina de España,Sin partido,Casa Real,"139.610,00","11.634,17",,,,15/09/1972
2,08/11/2021,Celia Villalobos Talero,0,Diputada,Partido Popular,Congreso De Los Diputados,"89.689,04",,,,,18/04/1949
3,08/11/2021,Pablo Casado Blanco,1,Diputado,Partido Popular,Congreso De Los Diputados,"55.803,86","3.985,99","3.050,62",,"935,37",01/02/1981
4,08/11/2021,Albert Rivera Díaz,0,Diputado,Ciudadanos,Congreso De Los Diputados,"69.515,18",,,,,15/11/1979
5,08/11/2021,Oriol Junqueras I Vies,0,Diputado,ERC,Congreso De Los Diputados,"68.642,84",,,,,11/04/1969
6,08/11/2021,Inés Arrimadas García,1,Diputada,Ciudadanos,Congreso De Los Diputados,"126.582,68","9.041,62","3.050,62","4.031,38","1.959,62",03/07/1981
7,08/11/2021,Santiago Abascal Conde,1,Diputado,VOX,Congreso De Los Diputados,"55.803,86","3.985,99","3.050,62",,"935,37",14/04/1976
8,08/11/2021,Abel Caballero Álvarez,1,Alcalde Del Ayuntamiento De Vigo,PSOE,Ayuntamiento De Vigo,"71.412,46","5.100,89","5.100,89",,,02/09/1946
9,08/11/2021,Felipe De Borbón Y Grecia,1,Rey de España,Sin partido,Casa Real,"253.850,00","21.154,17",,,,30/01/1968
10,08/11/2021,Juan Carlos De Borbón,1,Rey emérito,Sin partido,Casa Real,"0,00","0,00",,,,05/01/1938
11,08/11/2021,Carles Puigdemont I Casamajó,1,Eurodiputado,Junts per Catalunya,Parlamento Europeo,"107.944,68","8.995,39",,,,29/12/1962
12,08/11/2021,Joaquim Torra Pla,0,Diputado,Junts per Catalunya,Parlament De Catalunya,"0,00",,,,,
13,08/11/2021,Susana Díaz Pacheco,1,Senadora,PSOE,Senado,"91.845,88","6.560,42","3.050,66","1.551,74","1.958,02",18/10/1974
14,08/11/2021,Pedro Sánchez Pérez-Castejón,1,Presidente,PSOE,Gobierno De España,"84.845,16","7.070,43",,,,29/02/1972
15,08/11/2021,Josep Borrell Fontelles,1,Alto Representante para la Política Exterior y la Seguridad Común,PSOE,Comisión Europea,"315.428,88","26.285,74",,,,24/04/1947
16,08/11/2021,Meritxell Batet Lamaña,1,Diputada,PSOE,Congreso De Los Diputados,"230.930,98","16.495,07","3.050,62","11.484,83","1.959,62",19/03/1973
17,08/11/2021,Manuela Carmena Castrillo,0,Alcaldesa Del Ayuntamiento De Madrid,Ahora Madrid,Ayuntamiento De Madrid,"106.130,52",,,,,09/02/1944
18,08/11/2021,José Luis Martínez-Almeida Navasqüés,1,Alcalde Del Ayuntamiento De Madrid,Partido Popular,Ayuntamiento De Madrid,"108.517,80","9.321,07",,,,17/04/1975
19,08/11/2021,Ana María Pastor Julián,1,Diputada,Partido Popular,Congreso De Los Diputados,"116.196,64","8.299,76","3.050,62","4.313,77","935,37",11/11/1957
20,08/11/2021,Gabriel Rufián Romero,1,Diputado,ERC,Congreso De Los Diputados,"126.582,68","9.041,62","3.050,62","4.031,38","1.959,62",08/02/1982
